patient,n_slices,z_total
024,28,28
025,24,24
026,31,31
027,24,24
028,26,26
029,26,26
030,24,24
031,24,24
032,24,24
033,25,25
034,26,26
035,27,27
036,24,24
037,29,29
039,26,26
040,26,26
042,27,27
043,26,26
044,25,25
045,26,26
048,30,30
049,28,28
050,24,24
052,24,24
053,25,25
054,31,31
055,25,25
057,30,30
058,24,24
059,26,26
062,26,26
063,26,26
064,24,24
065,25,25
066,24,24
067,26,26
068,27,27
069,24,24
070,24,24
071,24,24
072,28,28
073,24,24
074,30,30
075,24,24
076,24,24
078,24,24
079,24,24
080,24,24
081,28,28
082,24,24
083,40,40
085,24,24
086,27,27
088,26,26
089,25,25
090,27,27
091,26,26
092,24,24
093,25,25
094,24,24
095,24,24
096,24,24
097,24,24
098,25,25
100,26,26
101,26,26
102,24,24
103,25,25
104,24,24
105,24,24
106,24,24
107,24,24
108,25,25
110,24,24
111,26,26
112,26,26
113,24,24
115,24,24
116,26,26
117,24,24
119,28,28
120,24,24
121,26,26
122,25,25
123,25,25
124,25,25
125,24,24
126,24,24
128,24,24
129,30,30
130,27,27
131,24,24
132,25,25
133,24,24
134,24,24
135,26,26
136,24,24
137,24,24
138,27,27
139,25,25
140,25,25
141,35,35
142,25,25
143,24,24
144,24,24
145,24,24
146,26,26
147,24,24
148,24,24
149,35,35
150,26,26
151,24,24
152,24,24
153,31,31
154,26,26
155,30,30
156,27,27
157,27,27
158,25,25
020,24,24
021,24,24
022,24,24
023,24,24
038,24,24
041,24,24
046,24,24
047,24,24
051,24,24
056,25,25
060,31,31
061,24,24
077,25,25
084,24,24
087,24,24
099,24,24
109,24,24
114,24,24
118,24,24
127,27,27
001,23,23
002,23,23
003,23,23
004,25,25
005,27,27
006,25,25
007,29,29
008,25,25
009,25,25
010,25,25
011,28,28
012,23,23
013,23,23
014,28,28
015,23,23
016,25,25
017,25,25
018,26,26
019,25,25
